PropertyCategory,DateOfCall,Notional Cost (£)
Dwelling,03 Jan 2021,346.0
Non Residential,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Outdoor,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Other Residential,03 Jan 2021,346.0
Non Residential,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Road Vehicle,03 Jan 2021,692.0
Outdoor Structure,03 Jan 2021,346.0
Dwelling,03 Jan 2021,2076.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Outdoor,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,1384.0
Dwelling,03 Jan 2021,346.0
Other Residential,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Outdoor,03 Jan 2021,692.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Outdoor,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Outdoor Structure,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Other Residential,03 Jan 2021,346.0
Dwelling,03 Jan 2021,0.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Road Vehicle,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Road Vehicle,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Dwelling,03 Jan 2021,692.0
Dwelling,03 Jan 2021,346.0
Road Vehicle,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,692.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,346.0
Dwelling,03 Jan 2021,1038.0
Dwelling,03 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,1038.0
Other Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor Structure,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor Structure,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,0.0
Other Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Road Vehicle,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,0.0
Outdoor Structure,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Outdoor Structure,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Non Residential,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,692.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,0.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Dwelling,04 Jan 2021,2076.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Road Vehicle,04 Jan 2021,346.0
Other Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Non Residential,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Outdoor,04 Jan 2021,346.0
Dwelling,04 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Outdoor,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,3114.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,1038.0
Other Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Outdoor,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,1730.0
Dwelling,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,1384.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,3806.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,1038.0
Non Residential,05 Jan 2021,692.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,692.0
Road Vehicle,05 Jan 2021,692.0
Dwelling,05 Jan 2021,1038.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,692.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,1730.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Other Residential,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,2768.0
Non Residential,05 Jan 2021,692.0
Road Vehicle,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,346.0
Non Residential,05 Jan 2021,346.0
Outdoor Structure,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Outdoor,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,05 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor Structure,06 Jan 2021,692.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,692.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,1730.0
Road Vehicle,06 Jan 2021,692.0
Other Residential,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Non Residential,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,9688.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Outdoor,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,692.0
Other Residential,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,1038.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor Structure,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Outdoor Structure,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,692.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,692.0
Road Vehicle,06 Jan 2021,692.0
Outdoor,06 Jan 2021,346.0
Outdoor,06 Jan 2021,2422.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Other Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor Structure,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Outdoor,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Road Vehicle,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,1038.0
Dwelling,06 Jan 2021,692.0
Dwelling,06 Jan 2021,346.0
Non Residential,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Dwelling,06 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Outdoor,07 Jan 2021,346.0
Outdoor,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,692.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Outdoor,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Other Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,692.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,692.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Outdoor,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,692.0
Non Residential,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Non Residential,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Dwelling,07 Jan 2021,346.0
Outdoor,07 Jan 2021,692.0
